source,destination,distance,road_quality,lane_count,road_type,speed_limit,tolls,foot_traffic,event,vehicle_type,historical_congestion,accident,pothole_reports,predicted_congestion,weight
E,C,3.0,1.81,1,rural,80,0,0.63,procession,sedan,0.155,no,9,0.468,11.151
A,B,6.0,4.92,2,rural,80,0,0.616,none,sedan,0.884,no,4,0.421,8.83
A,B,6.0,1.73,4,urban,60,0,0.636,procession,bike,0.145,no,6,0.447,11.853
C,B,25.0,3.8,2,urban,60,2,0.148,none,truck,0.404,no,1,0.226,16.774
A,E,8.0,2.11,2,urban,60,1,0.635,procession,bike,0.409,no,4,0.438,13.448
E,C,36.0,1.14,2,highway,60,0,0.226,none,truck,0.566,no,6,0.568,23.548
D,C,39.0,2.26,3,urban,80,0,0.626,none,truck,0.513,no,3,0.434,19.851
C,E,8.0,3.01,2,rural,60,1,0.314,none,bike,0.494,no,0,0.294,10.503
A,E,50.0,1.22,2,urban,60,0,0.314,none,sedan,0.015,no,8,0.473,26.92
D,E,25.0,1.61,2,urban,80,0,0.365,none,bike,0.995,no,4,0.56,17.995
B,D,41.0,3.82,2,rural,80,0,0.209,none,bike,0.164,no,5,0.229,17.901
C,E,55.0,3.22,3,rural,100,2,0.142,none,suv,0.393,no,9,0.321,27.56
D,A,26.0,2.88,1,highway,40,0,0.045,vip_movement,truck,0.292,no,2,0.226,14.201
E,C,43.0,1.34,2,urban,100,2,0.638,none,truck,0.67,no,6,0.621,28.55
A,D,22.0,3.16,2,rural,100,0,0.769,none,truck,0.505,no,9,0.471,15.197
B,C,8.0,2.36,2,rural,100,0,0.105,none,suv,0.917,no,4,0.414,9.954
A,B,19.0,1.1,4,highway,80,0,0.308,none,truck,0.007,no,1,0.437,15.817
D,C,38.0,4.93,2,rural,60,2,0.903,procession,truck,0.963,no,7,0.524,24.56
C,E,5.0,3.93,2,highway,80,0,0.654,none,bike,0.985,no,9,0.52,10.768
D,E,45.0,2.39,1,highway,40,0,0.49,procession,bike,0.465,no,10,0.459,24.181
B,C,5.0,1.34,2,rural,80,2,0.925,none,bike,0.037,no,10,0.591,18.143
A,B,7.0,3.7,3,urban,100,0,0.739,vip_movement,suv,0.049,no,8,0.346,9.008
A,D,14.0,1.02,2,rural,60,1,0.03,procession,suv,0.896,no,2,0.598,18.991
B,C,51.0,2.39,3,rural,60,1,0.397,none,sedan,0.887,no,3,0.454,26.029
D,A,40.0,3.87,3,urban,80,2,0.296,procession,suv,0.137,no,2,0.21,20.792
E,D,44.0,2.57,4,urban,40,0,0.134,none,suv,0.067,no,6,0.256,20.906
A,B,27.0,3.54,2,urban,60,2,0.752,vip_movement,truck,0.285,no,5,0.37,19.717
B,C,20.0,4.64,2,rural,80,0,0.653,none,sedan,0.241,no,3,0.295,11.631
A,B,52.0,2.13,2,highway,100,0,0.438,procession,bike,0.995,no,5,0.524,24.686
B,E,40.0,4.15,1,rural,40,0,0.102,none,truck,0.955,no,10,0.408,21.283
C,A,3.0,4.84,1,highway,40,0,0.066,none,bike,0.516,no,5,0.249,7.423
A,E,7.0,2.54,1,rural,80,0,0.302,none,suv,0.417,yes,4,1.0,25.87
B,A,25.0,1.0,2,rural,60,0,0.333,none,suv,0.781,no,5,0.671,21.683
B,C,15.0,2.92,2,urban,40,1,0.93,none,suv,0.461,no,0,0.415,14.365
A,D,3.0,1.55,4,highway,40,2,0.031,none,sedan,0.62,no,1,0.398,14.299
A,C,14.0,4.4,1,urban,60,2,0.619,none,sedan,0.773,no,3,0.399,15.431
B,E,33.0,3.41,4,urban,40,0,0.813,none,suv,0.799,no,3,0.47,18.661
B,C,25.0,2.27,1,rural,40,1,0.019,none,truck,0.725,no,1,0.335,17.252
B,D,49.0,4.56,2,highway,40,0,0.144,procession,truck,0.173,no,1,0.161,19.607
E,B,1.0,1.07,4,urban,80,0,0.897,none,sedan,0.536,no,9,0.752,15.307
A,B,43.0,3.38,2,highway,60,1,0.836,none,sedan,0.596,no,9,0.495,24.628
E,B,37.0,3.21,2,urban,100,1,0.726,procession,truck,0.758,no,1,0.431,19.668
C,E,31.0,1.05,3,urban,80,0,0.094,none,bike,0.395,no,9,0.569,22.551
C,A,22.0,1.71,1,rural,100,2,0.913,none,sedan,0.47,no,7,0.58,21.216
E,D,23.0,3.07,3,urban,80,0,0.57,procession,suv,0.904,no,1,0.435,14.081
E,D,30.0,1.82,3,highway,60,0,0.979,vip_movement,suv,0.719,no,6,0.62,20.649
B,D,19.0,3.43,2,urban,60,0,0.935,procession,truck,0.197,no,5,0.393,13.584
B,D,8.0,1.65,2,highway,60,0,0.244,vip_movement,sedan,0.754,no,1,0.452,11.644
B,C,12.0,1.74,2,highway,60,0,0.045,none,sedan,0.959,no,5,0.48,13.772
D,C,53.0,2.01,2,highway,60,1,0.877,procession,bike,0.985,no,3,0.601,28.501
E,C,5.0,1.55,2,highway,80,0,0.846,none,truck,0.542,no,6,0.596,12.878
A,B,27.0,4.41,2,highway,80,1,0.296,vip_movement,suv,0.405,no,0,0.231,14.544
D,A,13.0,4.77,1,highway,100,1,0.265,none,sedan,0.179,no,9,0.263,11.876
A,C,11.0,3.84,3,highway,80,2,0.339,none,truck,0.248,no,3,0.252,12.719
A,E,5.0,4.11,2,rural,60,0,0.53,none,truck,0.435,no,3,0.32,8.019
A,E,6.0,4.81,1,urban,60,0,0.208,none,suv,0.03,no,1,0.141,5.946
E,A,19.0,3.43,2,rural,60,0,0.187,none,bike,0.818,no,10,0.418,14.833
B,C,50.0,4.68,2,highway,80,0,0.342,none,bike,0.623,no,7,0.348,21.952
D,E,13.0,4.7,2,highway,80,1,0.993,none,suv,0.062,no,3,0.326,11.828
D,A,26.0,3.53,2,highway,40,2,0.319,none,truck,0.461,no,7,0.339,20.011
C,A,28.0,4.8,2,urban,40,0,0.846,procession,truck,0.45,no,0,0.342,14.866
D,B,59.0,3.13,2,highway,60,0,0.366,vip_movement,truck,0.403,no,8,0.362,26.018
A,D,35.0,4.63,2,urban,40,1,0.342,procession,suv,0.44,no,9,0.333,20.709
A,B,40.0,3.62,2,highway,40,2,0.198,none,sedan,0.861,no,8,0.402,25.002
E,D,11.0,2.1,1,highway,60,0,0.675,vip_movement,bike,0.203,no,6,0.426,12.639
D,E,35.0,2.02,2,urban,40,0,0.976,none,suv,0.685,yes,5,1.0,35.975
C,D,52.0,3.44,2,highway,100,2,0.322,vip_movement,bike,0.49,no,5,0.329,25.84
E,B,48.0,4.65,4,highway,60,2,0.978,none,truck,0.765,no,1,0.445,25.621
C,D,27.0,1.96,2,urban,60,0,0.586,none,suv,0.219,no,4,0.405,16.999
B,E,34.0,1.03,2,highway,60,1,0.839,none,sedan,0.774,no,1,0.721,25.965
B,C,59.0,1.77,1,highway,60,0,0.933,procession,suv,0.07,no,10,0.526,29.289
C,D,15.0,4.54,2,highway,60,0,0.833,none,sedan,0.423,no,2,0.359,11.095
C,B,41.0,3.61,4,highway,100,0,0.095,none,truck,0.977,no,8,0.405,19.836
B,C,11.0,1.21,2,urban,100,0,0.787,procession,bike,0.821,no,4,0.694,15.682
B,D,43.0,2.97,3,rural,60,0,0.879,vip_movement,sedan,0.154,no,3,0.371,20.401
A,C,4.0,1.0,2,rural,100,0,0.652,none,truck,0.168,no,9,0.653,15.022
A,E,16.0,3.16,3,rural,40,0,0.394,none,truck,0.257,no,2,0.277,11.556
C,D,43.0,2.47,2,urban,80,0,0.751,vip_movement,sedan,0.086,no,1,0.339,19.516
A,E,4.0,4.96,1,urban,100,1,0.449,vip_movement,suv,0.875,no,10,0.445,11.162
E,C,12.0,1.88,2,rural,60,0,0.566,procession,truck,0.829,no,6,0.551,14.469
C,A,32.0,3.41,2,highway,80,0,0.419,none,bike,0.827,no,1,0.376,16.033
B,D,16.0,3.09,2,urban,80,1,0.066,procession,suv,0.212,no,0,0.185,11.272
D,A,50.0,2.88,2,rural,100,2,0.059,none,sedan,0.586,no,3,0.298,24.816
D,A,13.0,1.4,2,highway,60,0,0.135,none,truck,0.32,no,9,0.467,15.454
B,A,31.0,2.06,2,urban,60,0,0.888,none,bike,0.1,no,0,0.392,17.147
A,C,37.0,1.49,3,rural,100,0,0.526,vip_movement,sedan,0.044,no,10,0.483,21.789
A,B,28.0,3.31,3,rural,100,0,0.979,none,suv,0.494,no,10,0.515,17.566
B,E,24.0,3.34,1,urban,60,0,0.103,none,bike,0.589,no,9,0.348,15.481
D,C,26.0,3.53,4,urban,100,2,0.391,procession,suv,0.451,no,4,0.322,17.733
C,B,39.0,3.22,2,rural,60,0,0.095,none,suv,0.723,no,1,0.298,17.933
E,B,47.0,4.02,2,urban,80,2,0.928,none,truck,0.669,no,7,0.489,26.631
E,B,7.0,3.32,1,rural,80,0,0.68,vip_movement,truck,0.027,no,1,0.272,7.528
E,B,30.0,2.86,1,urban,100,2,0.879,none,bike,0.565,no,4,0.468,20.731
D,A,26.0,2.99,2,rural,40,2,0.964,procession,bike,0.188,no,10,0.464,22.116
E,C,23.0,1.4,3,urban,60,0,0.982,none,truck,0.425,no,6,0.626,19.423
A,C,8.0,4.18,3,highway,40,0,0.304,procession,bike,0.024,no,5,0.211,8.709
C,D,35.0,3.67,2,highway,100,1,0.04,none,suv,0.522,no,4,0.261,17.775
A,C,12.0,2.38,1,urban,100,0,0.809,none,suv,0.081,no,10,0.446,12.666
E,D,22.0,2.72,1,urban,40,0,0.994,none,bike,0.04,no,5,0.404,15.471
B,C,54.0,1.18,4,rural,100,2,0.06,none,sedan,0.156,no,9,0.472,31.455
A,E,52.0,2.59,2,urban,100,0,0.969,none,suv,0.189,no,2,0.406,22.493
E,A,6.0,4.47,3,urban,100,0,0.842,vip_movement,suv,0.127,no,10,0.383,9.252
B,C,23.0,4.6,4,urban,60,1,0.483,none,suv,0.386,no,2,0.281,14.697
B,A,6.0,1.31,3,rural,60,0,0.612,vip_movement,sedan,0.158,no,0,0.459,11.711
B,E,49.0,3.06,4,highway,100,2,0.236,none,sedan,0.154,no,1,0.219,23.218
A,C,22.0,3.15,2,rural,100,0,0.801,vip_movement,truck,0.864,no,1,0.47,13.588
B,A,6.0,1.9,2,urban,100,2,0.771,none,sedan,0.183,no,5,0.451,14.435
A,D,11.0,2.74,2,rural,100,1,0.169,procession,bike,0.188,no,6,0.277,11.599
C,A,30.0,2.75,4,highway,60,0,0.422,none,bike,0.593,no,0,0.349,15.806
D,A,36.0,2.88,3,rural,60,0,0.06,vip_movement,bike,0.648,no,9,0.371,19.546
C,D,12.0,3.52,2,rural,60,1,0.672,vip_movement,bike,0.371,no,6,0.382,13.539
E,B,30.0,3.95,2,urban,40,0,0.131,procession,suv,0.627,no,2,0.273,15.397
B,E,44.0,1.44,4,highway,100,0,0.198,none,suv,0.529,no,8,0.503,23.792
D,A,42.0,1.7,2,rural,60,2,0.273,none,sedan,0.127,no,3,0.345,25.093
E,D,9.0,2.92,3,highway,80,1,0.815,none,suv,0.821,no,3,0.494,12.949
B,A,11.0,2.87,2,rural,40,2,0.314,procession,sedan,0.131,no,3,0.258,14.225
D,B,51.0,1.94,3,urban,40,2,0.498,procession,truck,0.867,no,5,0.529,30.16
D,C,53.0,4.63,3,urban,60,1,0.016,none,truck,0.494,no,5,0.238,23.862
C,D,33.0,4.35,1,rural,40,0,0.848,procession,bike,0.873,no,10,0.536,20.412
A,B,8.0,2.07,2,urban,80,2,0.345,vip_movement,truck,0.296,no,2,0.341,13.625
A,D,4.0,4.8,2,highway,100,0,0.192,procession,truck,0.812,no,1,0.294,5.884
E,D,9.0,3.71,3,urban,40,2,0.965,none,truck,0.43,no,2,0.407,14.514
D,B,46.0,4.09,2,rural,80,2,0.213,procession,sedan,0.571,no,9,0.345,25.27
A,B,13.0,3.08,3,rural,40,0,0.747,none,sedan,0.189,no,4,0.357,11.898
C,D,51.0,3.57,2,highway,100,0,0.403,none,sedan,0.246,no,10,0.342,22.62
A,D,58.0,2.87,2,highway,40,0,0.464,none,suv,0.796,no,5,0.441,26.552
E,D,16.0,2.1,2,highway,40,0,0.402,vip_movement,bike,0.847,no,2,0.461,14.19
B,A,6.0,3.56,3,highway,40,0,0.917,procession,bike,0.848,no,5,0.516,11.362
A,E,52.0,2.22,2,urban,100,1,0.781,none,sedan,0.728,no,10,0.582,28.167
A,E,12.0,3.98,3,urban,40,1,0.288,none,sedan,0.238,no,7,0.276,13.014
C,E,24.0,4.15,4,rural,40,1,0.678,procession,suv,0.189,no,5,0.32,16.603
C,E,1.0,4.67,4,rural,60,0,0.638,procession,suv,0.987,no,6,0.471,8.776
C,D,52.0,2.14,3,urban,60,1,0.884,vip_movement,bike,0.77,no,3,0.548,27.521
B,D,18.0,4.32,1,urban,60,0,0.712,none,truck,0.496,no,4,0.374,12.599
B,E,52.0,1.12,2,urban,100,2,0.75,none,truck,0.867,no,2,0.699,31.943
D,E,18.0,3.13,3,highway,100,0,0.231,none,sedan,0.959,no,1,0.376,11.458
D,B,44.0,3.13,2,highway,60,0,0.202,procession,sedan,0.812,no,9,0.421,22.305
E,C,8.0,4.89,4,highway,80,2,0.332,vip_movement,sedan,0.212,no,2,0.211,10.929
A,B,5.0,4.96,1,highway,40,0,0.58,vip_movement,sedan,0.631,no,8,0.403,10.137
B,D,26.0,3.85,2,urban,80,0,0.468,none,sedan,0.797,no,4,0.397,14.866
A,D,15.0,4.37,2,rural,80,1,0.078,vip_movement,bike,0.308,no,8,0.249,12.731
C,D,39.0,2.18,2,rural,40,0,0.554,none,truck,0.61,no,10,0.516,23.158
A,B,41.0,3.7,2,urban,40,1,0.409,none,suv,0.222,no,0,0.234,19.996
E,D,46.0,4.32,2,highway,40,1,0.473,none,suv,0.62,no,10,0.411,25.068
C,E,32.0,3.41,3,highway,40,0,0.482,none,truck,0.494,no,10,0.412,19.191
E,C,27.0,1.72,2,highway,40,0,0.432,none,suv,0.733,yes,8,1.0,34.601
B,C,58.0,4.76,1,highway,60,1,0.326,none,truck,0.412,no,1,0.242,24.566
B,E,56.0,4.02,3,urban,60,2,0.224,procession,suv,0.25,no,7,0.264,27.585
C,D,59.0,4.96,2,urban,80,1,0.933,vip_movement,suv,0.529,no,2,0.393,26.037
B,E,26.0,4.94,4,rural,100,0,0.269,procession,sedan,0.547,no,3,0.274,12.654
A,C,34.0,2.63,3,urban,100,0,0.331,none,sedan,0.189,no,10,0.356,18.157
C,A,14.0,4.04,2,highway,40,2,0.177,none,suv,0.275,no,7,0.259,15.433
A,E,35.0,1.09,3,highway,40,0,0.445,procession,truck,0.072,no,4,0.511,23.013
D,E,8.0,1.71,4,highway,60,0,0.15,vip_movement,sedan,0.66,no,2,0.415,11.37
C,E,57.0,2.98,2,rural,60,1,0.224,none,truck,0.352,no,0,0.25,24.777
B,A,20.0,3.58,2,urban,80,1,0.811,none,truck,0.103,no,6,0.355,15.143
D,B,11.0,1.89,2,highway,40,0,0.177,none,bike,0.926,no,6,0.492,14.056
E,C,2.0,4.7,4,urban,40,2,0.97,procession,sedan,0.971,no,9,0.563,15.097
D,A,4.0,3.46,2,rural,60,0,0.572,none,sedan,0.74,no,7,0.448,10.028
D,A,51.0,2.89,2,urban,60,2,0.733,vip_movement,sedan,0.175,no,4,0.36,26.93
D,C,35.0,3.94,2,rural,100,2,0.378,none,bike,0.242,no,5,0.276,20.026
E,A,16.0,3.77,4,urban,40,0,0.674,none,bike,0.071,no,3,0.285,11.577
D,A,17.0,2.34,3,rural,80,0,0.446,vip_movement,bike,0.651,no,10,0.49,15.14
B,E,41.0,1.57,1,urban,40,1,0.047,none,suv,0.14,no,7,0.363,24.519
C,B,17.0,1.13,2,highway,60,0,0.109,procession,suv,0.248,no,0,0.426,15.291
B,D,48.0,2.51,2,highway,80,0,0.515,none,bike,0.421,no,3,0.377,21.757
A,D,50.0,1.09,2,rural,40,1,0.285,procession,bike,0.632,no,10,0.651,32.098
E,D,3.0,2.78,2,urban,40,1,0.988,none,sedan,0.453,no,0,0.432,11.018
C,B,1.0,4.91,2,urban,40,0,0.052,procession,bike,0.266,no,0,0.145,4.767
A,C,25.0,4.72,2,rural,100,2,0.505,none,truck,0.448,no,9,0.365,18.512
C,E,51.0,3.12,4,urban,40,0,0.301,none,sedan,0.392,no,7,0.337,23.668
D,C,11.0,3.7,2,urban,60,0,0.717,none,suv,0.361,no,5,0.374,10.889
A,C,16.0,4.6,2,highway,80,0,0.495,none,sedan,0.238,no,3,0.264,10.122
A,B,48.0,4.75,2,highway,80,0,0.993,procession,suv,0.163,no,3,0.345,20.507
E,C,47.0,3.45,1,highway,40,2,0.265,none,sedan,0.108,no,3,0.22,24.353
B,E,2.0,2.12,1,rural,60,0,0.339,none,suv,0.09,yes,3,1.0,25.061
B,D,36.0,4.71,2,rural,100,0,0.315,none,bike,0.765,no,5,0.351,16.868
E,A,26.0,4.07,3,rural,60,0,0.094,vip_movement,bike,0.77,no,10,0.371,16.242
B,D,8.0,4.08,3,highway,100,1,0.857,none,sedan,0.276,no,9,0.415,12.071
A,D,27.0,2.06,2,rural,60,0,0.27,vip_movement,bike,0.426,no,9,0.423,18.06
D,C,4.0,2.03,2,urban,40,0,0.352,procession,truck,0.413,no,10,0.45,12.165
B,D,58.0,4.14,4,urban,100,0,0.526,none,truck,0.818,no,1,0.376,23.064
B,A,55.0,1.46,2,urban,80,0,0.598,none,sedan,0.068,no,8,0.487,27.392
B,A,40.0,1.47,4,highway,100,0,0.323,none,sedan,0.718,no,6,0.54,22.486
C,A,43.0,5.0,2,highway,60,2,0.482,procession,bike,0.088,no,6,0.254,23.141
E,D,56.0,2.26,2,rural,60,1,0.19,none,truck,0.253,no,9,0.356,27.871
D,A,35.0,3.61,2,highway,80,1,0.094,procession,bike,0.749,no,5,0.329,19.175
A,E,19.0,2.47,2,urban,60,2,0.369,none,truck,0.386,no,2,0.333,16.948
D,B,19.0,2.55,2,urban,80,0,0.772,none,suv,0.588,no,3,0.459,13.845
C,A,54.0,4.17,1,rural,60,2,0.987,procession,bike,0.093,no,5,0.362,27.515
A,D,45.0,3.03,3,rural,100,0,0.612,procession,suv,0.842,no,8,0.503,22.279
A,C,42.0,4.44,2,highway,60,0,0.188,vip_movement,suv,0.704,no,7,0.338,20.01
A,C,53.0,4.06,1,highway,60,0,0.708,vip_movement,truck,0.308,no,6,0.362,23.45
D,A,5.0,1.17,1,rural,100,1,0.949,none,bike,0.472,no,9,0.715,17.216
C,A,20.0,3.09,2,highway,80,1,0.995,vip_movement,bike,0.385,no,0,0.406,14.675
D,B,9.0,1.7,3,highway,100,0,0.919,vip_movement,sedan,0.067,no,8,0.513,12.872
A,B,16.0,4.94,2,highway,40,0,0.498,none,bike,0.377,no,6,0.316,12.17
B,A,44.0,3.76,3,urban,100,0,0.568,procession,sedan,0.17,no,5,0.304,19.07
D,E,17.0,3.89,1,rural,100,1,0.089,vip_movement,suv,0.056,no,0,0.132,10.201
D,B,28.0,2.7,3,urban,100,0,0.501,vip_movement,bike,0.15,no,10,0.378,16.529
A,B,29.0,4.55,2,rural,80,1,0.419,none,sedan,0.521,no,4,0.316,16.76
C,B,42.0,2.0,2,highway,40,0,0.872,none,truck,0.134,no,10,0.501,24.104
E,A,15.0,1.6,1,highway,40,0,0.987,procession,suv,0.748,no,0,0.597,15.587
E,C,21.0,2.44,1,rural,60,0,0.991,vip_movement,suv,0.189,no,4,0.44,15.055
C,D,36.0,4.17,3,urban,100,0,0.247,vip_movement,truck,0.297,no,6,0.265,16.348
C,E,32.0,4.9,2,rural,40,0,0.487,none,sedan,0.237,no,1,0.236,15.185
A,E,55.0,1.5,1,rural,100,2,0.9,none,bike,0.069,no,7,0.531,31.056
E,D,16.0,4.31,3,rural,100,0,0.322,vip_movement,truck,0.957,no,2,0.369,10.546
D,C,26.0,4.02,4,urban,40,0,0.539,none,suv,0.572,yes,5,1.0,32.042
C,E,35.0,3.34,2,urban,80,0,0.79,procession,bike,0.538,no,6,0.445,18.649
D,A,7.0,3.11,3,highway,80,1,0.09,none,truck,0.222,no,9,0.281,11.319
E,B,36.0,3.37,2,rural,60,2,0.723,vip_movement,suv,0.368,no,5,0.387,22.657
D,A,23.0,2.49,4,highway,60,0,0.235,vip_movement,sedan,0.338,no,9,0.365,15.856
B,E,46.0,4.21,1,rural,80,2,0.402,vip_movement,sedan,0.923,no,0,0.36,23.588
D,C,59.0,1.85,3,urban,80,0,0.034,procession,truck,0.95,no,7,0.483,27.642
B,E,4.0,4.76,4,highway,80,1,0.463,procession,truck,0.119,no,4,0.24,8.454
D,B,19.0,1.58,2,rural,100,0,0.215,none,sedan,0.563,no,8,0.488,15.841
D,B,54.0,1.6,4,highway,100,2,0.631,vip_movement,truck,0.639,no,6,0.563,30.652
C,A,3.0,3.34,3,rural,40,0,0.012,vip_movement,truck,0.507,no,5,0.274,8.132
B,E,15.0,3.11,2,highway,100,0,0.32,none,bike,0.543,no,3,0.331,10.52
A,D,45.0,2.14,2,rural,100,0,0.262,none,suv,0.031,no,6,0.306,20.591
D,A,45.0,3.07,2,highway,60,0,0.1,none,suv,0.996,yes,7,1.0,38.031
D,C,38.0,4.31,2,rural,40,1,0.697,vip_movement,bike,0.122,no,4,0.297,20.328
A,B,50.0,1.31,1,urban,40,1,0.334,none,sedan,0.451,no,1,0.473,27.757
E,D,38.0,3.61,1,rural,100,0,0.913,none,sedan,0.407,no,6,0.435,18.833
E,C,25.0,3.67,2,rural,100,0,0.144,none,suv,0.233,no,6,0.244,13.006
A,B,18.0,4.28,2,rural,60,1,0.271,none,suv,0.197,no,6,0.247,13.742
E,B,52.0,4.84,2,urban,100,2,0.422,none,truck,0.343,no,6,0.296,25.29
D,B,59.0,2.99,3,highway,80,1,0.521,none,suv,0.464,no,2,0.351,26.285
E,B,12.0,3.87,3,rural,80,0,0.291,vip_movement,bike,0.729,no,9,0.398,11.669
A,D,11.0,4.97,2,rural,40,2,0.745,none,suv,0.927,no,4,0.455,15.653
C,A,45.0,4.36,2,highway,100,0,0.246,none,suv,0.806,no,6,0.362,19.966
A,D,34.0,2.87,2,urban,60,0,0.472,none,suv,0.501,no,6,0.394,18.583
D,E,41.0,2.37,3,rural,80,2,0.153,none,truck,0.285,no,3,0.287,22.882
B,D,40.0,2.02,2,highway,100,0,0.876,none,sedan,0.875,no,10,0.648,23.456
E,C,2.0,2.57,3,rural,80,1,0.388,none,truck,0.71,no,8,0.455,11.692
C,E,19.0,1.68,2,highway,100,2,0.247,none,sedan,0.139,no,10,0.415,19.326
B,C,32.0,1.05,2,rural,80,0,0.807,none,suv,0.41,no,2,0.645,22.219
D,E,47.0,1.55,2,urban,100,2,0.299,none,sedan,0.334,no,6,0.445,27.485
C,D,11.0,3.12,3,highway,80,2,0.844,none,truck,0.765,no,1,0.46,14.704
C,D,11.0,1.75,2,highway,100,0,0.225,none,truck,0.837,no,6,0.502,12.878
E,C,48.0,4.48,2,urban,80,0,0.653,none,bike,0.101,no,10,0.34,21.916
A,C,56.0,2.78,2,highway,100,2,0.162,vip_movement,suv,0.887,yes,8,1.0,44.698
B,D,36.0,3.59,2,urban,40,0,0.135,none,sedan,0.103,no,2,0.179,16.381
B,D,41.0,3.75,2,urban,100,0,0.836,none,truck,0.74,no,0,0.422,18.353
E,A,35.0,3.51,2,urban,80,1,0.998,procession,sedan,0.061,no,5,0.376,19.685
D,A,17.0,2.32,3,highway,100,0,0.166,none,sedan,0.873,no,4,0.421,12.765
A,C,2.0,3.23,2,rural,80,0,0.923,none,bike,0.679,no,3,0.474,8.487
